Platform,Prompt,Brand_Mentioned,Rank
Perplexity,best cashback business card,Discover,2
Google AI Overview,best expense management card,Citi,1
Gemini,best corporate card,Citi,2
ChatGPT,best expense management card,Citi,1
Perplexity,best business credit card,Citi,1
Gemini,best travel rewards card,Chase,1
Google AI Overview,best company expense card,Citi,1
Perplexity,best premium business card,American Express,1
ChatGPT,best travel rewards card,American Express,1
Gemini,best business credit card,Chase,2
ChatGPT,best cashback business card,Citi,2
Gemini,best business credit card,American Express,1
Perplexity,best cashback business card,Capital One,1
Gemini,best travel rewards card,Chase,1
Perplexity,best corporate card,Citi,1
Google AI Overview,best corporate card,Chase,2
Gemini,best company expense card,Citi,1
Gemini,top business credit card for startups,Capital One,2
Gemini,best cashback business card,Chase,2
ChatGPT,best corporate card,American Express,1
ChatGPT,best travel rewards card,Discover,2
Gemini,best business credit card,American Express,1
ChatGPT,best expense management card,American Express,2
Perplexity,best cashback business card,Capital One,1
Google AI Overview,best premium business card,Chase,1
Perplexity,best premium business card,American Express,1
Perplexity,best corporate card,American Express,2
Google AI Overview,best cashback business card,Chase,1
Gemini,best travel rewards card,Citi,1
Perplexity,top business credit card for startups,Chase,1
Perplexity,best travel rewards card,American Express,1
Gemini,best premium business card,American Express,3
Google AI Overview,best cashback business card,Discover,1
Gemini,best company expense card,Chase,3
Google AI Overview,best company expense card,Capital One,1
ChatGPT,best expense management card,Chase,1
Google AI Overview,best cashback business card,Discover,1
Perplexity,top business credit card for startups,Capital One,1
Gemini,best corporate card,Citi,2
Gemini,best travel rewards card,Citi,2
Perplexity,best company expense card,Discover,2
Gemini,best business credit card,Capital One,2
Gemini,best business credit card,Citi,1
ChatGPT,best business credit card,Discover,1
Gemini,best expense management card,Citi,1
ChatGPT,best company expense card,American Express,1
ChatGPT,top business credit card for startups,Citi,1
Gemini,best business credit card,Citi,1
ChatGPT,best travel rewards card,Citi,1
Gemini,best company expense card,Capital One,2
Gemini,best corporate card,Chase,1
Gemini,best business credit card,Chase,2
ChatGPT,best company expense card,Citi,2
Perplexity,best travel rewards card,American Express,2
Google AI Overview,best travel rewards card,Citi,3
Perplexity,top business credit card for startups,Discover,1
ChatGPT,top business credit card for startups,Discover,3
Perplexity,best travel rewards card,American Express,3
Perplexity,best business credit card,American Express,3
ChatGPT,best premium business card,Discover,1
Google AI Overview,best travel rewards card,Capital One,3
Gemini,best premium business card,Discover,1
Google AI Overview,best company expense card,American Express,1
Google AI Overview,best company expense card,Chase,1
Perplexity,best corporate card,Capital One,2
ChatGPT,best corporate card,Chase,1
Google AI Overview,best expense management card,Capital One,3
Google AI Overview,best corporate card,Citi,1
Gemini,best corporate card,Discover,3
Gemini,best premium business card,American Express,1
ChatGPT,best travel rewards card,Capital One,2
Google AI Overview,best business credit card,American Express,1
Google AI Overview,top business credit card for startups,American Express,1
ChatGPT,best business credit card,American Express,1
Gemini,best company expense card,Capital One,1
Gemini,best corporate card,Citi,2
ChatGPT,best expense management card,Capital One,2
Google AI Overview,best corporate card,Chase,1
Gemini,best travel rewards card,Capital One,2
Gemini,best expense management card,Citi,2
Google AI Overview,best company expense card,Discover,1
Perplexity,best cashback business card,Discover,1
Perplexity,best travel rewards card,American Express,2
Google AI Overview,best company expense card,Citi,1
Google AI Overview,best company expense card,Discover,2
Perplexity,top business credit card for startups,Chase,1
Perplexity,best expense management card,Capital One,1
Perplexity,best company expense card,American Express,1
ChatGPT,best company expense card,Capital One,2
Google AI Overview,top business credit card for startups,Chase,2
ChatGPT,top business credit card for startups,Citi,2
Gemini,best company expense card,American Express,1
Perplexity,best premium business card,Chase,3
Perplexity,best cashback business card,Capital One,1
ChatGPT,best business credit card,Citi,1
Google AI Overview,best business credit card,Discover,3
Gemini,best premium business card,Chase,1
ChatGPT,best corporate card,American Express,3
Perplexity,best business credit card,Chase,2
ChatGPT,best business credit card,Citi,1
ChatGPT,best cashback business card,Discover,2
Perplexity,best premium business card,Chase,1
Perplexity,best corporate card,Capital One,2
Perplexity,top business credit card for startups,Discover,1
Perplexity,best cashback business card,American Express,1
ChatGPT,top business credit card for startups,Discover,1
Perplexity,best premium business card,Chase,1
Gemini,best corporate card,Citi,1
Perplexity,best business credit card,Discover,1
ChatGPT,best business credit card,Discover,3
Google AI Overview,best premium business card,Citi,1
Google AI Overview,best travel rewards card,Discover,2
Gemini,best expense management card,Chase,1
Google AI Overview,best travel rewards card,Discover,3
Google AI Overview,best premium business card,American Express,2
ChatGPT,best business credit card,American Express,1
ChatGPT,best company expense card,Capital One,2
Gemini,best business credit card,Capital One,1
Google AI Overview,best business credit card,Capital One,1
ChatGPT,best expense management card,Chase,1
Gemini,top business credit card for startups,Chase,1
ChatGPT,top business credit card for startups,Citi,1
Perplexity,best corporate card,American Express,2
Gemini,best business credit card,Chase,2
Google AI Overview,best travel rewards card,Chase,1
Perplexity,best premium business card,Chase,1
Google AI Overview,best business credit card,Capital One,1
Google AI Overview,best corporate card,Discover,1
Google AI Overview,best company expense card,Citi,1
Gemini,best business credit card,Capital One,1
Google AI Overview,best business credit card,American Express,2
Perplexity,best expense management card,Discover,1
Gemini,best cashback business card,Chase,1
Google AI Overview,best company expense card,American Express,1
Google AI Overview,best travel rewards card,American Express,1
Gemini,best premium business card,Capital One,3
Gemini,top business credit card for startups,Discover,1
Gemini,best corporate card,Chase,2
Gemini,best business credit card,Capital One,2
ChatGPT,best cashback business card,Chase,1
Gemini,best cashback business card,Citi,2
Gemini,best travel rewards card,Discover,1
Perplexity,best company expense card,Chase,1
ChatGPT,best premium business card,Chase,2
ChatGPT,best travel rewards card,Discover,1
Google AI Overview,best travel rewards card,Chase,1
Gemini,best company expense card,Chase,1
Google AI Overview,best expense management card,Citi,2
Perplexity,best corporate card,Chase,1
Gemini,best company expense card,Citi,3
Perplexity,best corporate card,Discover,1
Gemini,best travel rewards card,Capital One,1
Google AI Overview,best expense management card,Discover,1
ChatGPT,best cashback business card,Discover,1
Perplexity,best cashback business card,Chase,2
Perplexity,best travel rewards card,Discover,3
ChatGPT,top business credit card for startups,Capital One,1
Perplexity,top business credit card for startups,American Express,1
Perplexity,best company expense card,Citi,1
Google AI Overview,best expense management card,American Express,1
ChatGPT,best business credit card,Chase,2
Gemini,best business credit card,Discover,1
Gemini,top business credit card for startups,Discover,1
Google AI Overview,best business credit card,Capital One,1
Google AI Overview,best premium business card,American Express,1
ChatGPT,best expense management card,Chase,1
Gemini,best corporate card,Chase,1
Gemini,best travel rewards card,Chase,1
Perplexity,best business credit card,Citi,1
Google AI Overview,top business credit card for startups,American Express,1
ChatGPT,top business credit card for startups,Chase,3
Perplexity,best premium business card,Capital One,1
Gemini,best business credit card,Chase,1
Perplexity,best business credit card,Discover,2
ChatGPT,best company expense card,Discover,1
Gemini,best company expense card,Citi,1
ChatGPT,best corporate card,American Express,1
Perplexity,best cashback business card,Discover,1
Google AI Overview,best corporate card,Citi,1
ChatGPT,best premium business card,Discover,1
Perplexity,best business credit card,Discover,3
Perplexity,best company expense card,Chase,1
Google AI Overview,best company expense card,Discover,2
Google AI Overview,best business credit card,American Express,3
Google AI Overview,best company expense card,Citi,2
Gemini,best corporate card,Discover,1
Google AI Overview,top business credit card for startups,American Express,1
Perplexity,best corporate card,Capital One,1
Gemini,best premium business card,Capital One,2
Gemini,top business credit card for startups,Discover,1
Perplexity,best company expense card,Discover,1
ChatGPT,best expense management card,Citi,3
Google AI Overview,best company expense card,American Express,2
Perplexity,best business credit card,American Express,3
ChatGPT,best travel rewards card,Citi,1
Gemini,best business credit card,Discover,1
Perplexity,best expense management card,Citi,1
Google AI Overview,best cashback business card,Chase,2
Gemini,best cashback business card,Citi,1
Perplexity,top business credit card for startups,American Express,1
Perplexity,best premium business card,Capital One,1
Perplexity,top business credit card for startups,American Express,3
Perplexity,best cashback business card,Chase,2
ChatGPT,best business credit card,Chase,1
Gemini,best cashback business card,Chase,1
Gemini,best cashback business card,Discover,1
Gemini,top business credit card for startups,Discover,1
Google AI Overview,top business credit card for startups,Capital One,3
Google AI Overview,best travel rewards card,American Express,1
Gemini,best business credit card,Chase,1
Gemini,best travel rewards card,American Express,2
Perplexity,best premium business card,Citi,1
Gemini,top business credit card for startups,Discover,1
Gemini,best premium business card,Capital One,2
Perplexity,best premium business card,Chase,1
Google AI Overview,best company expense card,Discover,2
Perplexity,best company expense card,American Express,1
Gemini,best corporate card,Chase,1
Perplexity,top business credit card for startups,Capital One,2
Google AI Overview,best expense management card,Discover,3
Gemini,best travel rewards card,Discover,1
Google AI Overview,best company expense card,Chase,2
Gemini,best business credit card,Citi,1
Google AI Overview,best premium business card,American Express,1
Perplexity,best cashback business card,Capital One,1
ChatGPT,best premium business card,Citi,1
ChatGPT,best cashback business card,American Express,1
Gemini,best corporate card,Chase,1
ChatGPT,best expense management card,Capital One,2
ChatGPT,best premium business card,Capital One,1
Gemini,best company expense card,Citi,1
Gemini,best expense management card,American Express,1
ChatGPT,best cashback business card,American Express,2
Google AI Overview,best cashback business card,Chase,2
Gemini,best cashback business card,Chase,3
Perplexity,best premium business card,Citi,2
Perplexity,best travel rewards card,Chase,2
Gemini,best company expense card,Discover,1
ChatGPT,best travel rewards card,Capital One,1
ChatGPT,best expense management card,Discover,1
Perplexity,best business credit card,Chase,1
Google AI Overview,best company expense card,Chase,2
Google AI Overview,best travel rewards card,American Express,3
Gemini,best business credit card,American Express,3
Google AI Overview,top business credit card for startups,Chase,2
Gemini,best travel rewards card,Citi,1
Perplexity,best company expense card,American Express,1
Perplexity,top business credit card for startups,Citi,1
ChatGPT,top business credit card for startups,American Express,3
ChatGPT,best company expense card,Citi,1
ChatGPT,top business credit card for startups,Citi,1
Gemini,top business credit card for startups,American Express,1
Perplexity,best premium business card,Capital One,2
Google AI Overview,best travel rewards card,Capital One,1
Gemini,best company expense card,Chase,2
Perplexity,best travel rewards card,American Express,2
Perplexity,best premium business card,Capital One,1
Gemini,top business credit card for startups,Discover,2
ChatGPT,best cashback business card,American Express,2
ChatGPT,best company expense card,Discover,1
Google AI Overview,best expense management card,American Express,1
Google AI Overview,best premium business card,Discover,1
Google AI Overview,best premium business card,Discover,3
Perplexity,best cashback business card,Discover,1
ChatGPT,best business credit card,Chase,3
Gemini,best company expense card,Citi,1
Perplexity,best travel rewards card,Discover,1
Gemini,best company expense card,American Express,1
Perplexity,best cashback business card,Citi,1
Google AI Overview,best business credit card,American Express,1
Perplexity,best corporate card,Citi,2
Perplexity,best travel rewards card,Citi,1
Google AI Overview,best company expense card,Capital One,1
Gemini,best corporate card,Citi,1
Perplexity,best company expense card,Chase,1
ChatGPT,best expense management card,Capital One,1
Perplexity,best company expense card,Chase,1
Gemini,best company expense card,Chase,3
Perplexity,best corporate card,Capital One,2
ChatGPT,best premium business card,Capital One,2
ChatGPT,best cashback business card,Chase,1
Perplexity,best cashback business card,Discover,3
Google AI Overview,best premium business card,Discover,2
ChatGPT,best travel rewards card,Capital One,1
Gemini,best travel rewards card,American Express,1
ChatGPT,best company expense card,Citi,1
Gemini,best expense management card,American Express,3
Gemini,best travel rewards card,American Express,1
Google AI Overview,best expense management card,Capital One,1
Google AI Overview,best expense management card,Capital One,3
Gemini,best expense management card,Capital One,1
ChatGPT,best travel rewards card,Discover,3
Gemini,best expense management card,American Express,1
ChatGPT,best company expense card,Capital One,1
ChatGPT,best company expense card,Citi,1
Google AI Overview,best business credit card,American Express,1
Gemini,best expense management card,Citi,1
Perplexity,best corporate card,American Express,1
Gemini,best company expense card,Citi,1
Google AI Overview,best company expense card,American Express,1
ChatGPT,best company expense card,Capital One,1
Gemini,best cashback business card,Capital One,1
ChatGPT,best business credit card,Discover,1
ChatGPT,best premium business card,Discover,2
Gemini,best cashback business card,American Express,1
Google AI Overview,best expense management card,Discover,1
Gemini,best expense management card,Citi,2
Perplexity,top business credit card for startups,Discover,1
Perplexity,best cashback business card,Capital One,1
Gemini,best cashback business card,Capital One,1
Gemini,best business credit card,Discover,2
Gemini,best expense management card,Citi,3
Perplexity,best cashback business card,Chase,1
ChatGPT,top business credit card for startups,Chase,1
Gemini,best business credit card,Citi,1
Google AI Overview,best travel rewards card,American Express,1
Gemini,top business credit card for startups,Discover,1
Google AI Overview,best travel rewards card,Capital One,1
ChatGPT,best business credit card,Discover,2
Perplexity,top business credit card for startups,Capital One,2
Gemini,best premium business card,American Express,3
Perplexity,best company expense card,Discover,1
Perplexity,best corporate card,Chase,1
Gemini,top business credit card for startups,American Express,3
Google AI Overview,top business credit card for startups,Chase,2
Perplexity,best premium business card,Capital One,1
ChatGPT,best corporate card,American Express,2
ChatGPT,best company expense card,Capital One,1
ChatGPT,best premium business card,Capital One,2
Google AI Overview,top business credit card for startups,Discover,3
ChatGPT,best premium business card,Discover,1
Perplexity,best cashback business card,Capital One,2
ChatGPT,best expense management card,Citi,2
Gemini,best expense management card,Chase,1
ChatGPT,best premium business card,Chase,2
Perplexity,best travel rewards card,American Express,1
Google AI Overview,best premium business card,Discover,3
Perplexity,best expense management card,Discover,1
ChatGPT,top business credit card for startups,American Express,1
Perplexity,top business credit card for startups,Citi,1
Perplexity,best premium business card,Capital One,2
Gemini,best company expense card,Discover,1
Perplexity,best corporate card,Citi,2
Google AI Overview,top business credit card for startups,Citi,2
ChatGPT,best travel rewards card,American Express,1
Perplexity,best travel rewards card,American Express,1
Google AI Overview,best business credit card,Chase,1
Google AI Overview,best business credit card,Chase,1
Perplexity,best premium business card,Citi,2
Google AI Overview,best cashback business card,Discover,1
ChatGPT,best premium business card,Capital One,1
Gemini,best expense management card,Discover,1
Perplexity,best company expense card,Discover,1
Google AI Overview,best corporate card,American Express,2
ChatGPT,best business credit card,American Express,2
Google AI Overview,best business credit card,Discover,1
Gemini,best corporate card,Citi,1
Google AI Overview,top business credit card for startups,Citi,1
Google AI Overview,best expense management card,Chase,1
ChatGPT,best company expense card,Chase,1
Perplexity,best cashback business card,American Express,1
Google AI Overview,best premium business card,Chase,1
Perplexity,top business credit card for startups,Discover,1
Google AI Overview,best cashback business card,Chase,2
Google AI Overview,best corporate card,Citi,1
Google AI Overview,top business credit card for startups,Discover,1
ChatGPT,best premium business card,Capital One,3
Gemini,best business credit card,American Express,1
Gemini,best business credit card,Citi,1
Google AI Overview,best premium business card,Citi,3
Perplexity,best expense management card,Discover,2
Perplexity,best business credit card,American Express,1
Gemini,best company expense card,Citi,1
Perplexity,top business credit card for startups,Chase,1
Gemini,best cashback business card,Capital One,1
ChatGPT,top business credit card for startups,Citi,2
Perplexity,best cashback business card,Citi,2
Gemini,best business credit card,Citi,3
ChatGPT,best premium business card,Citi,1
ChatGPT,best company expense card,Capital One,1
ChatGPT,best cashback business card,American Express,1
Perplexity,top business credit card for startups,Capital One,1
Gemini,top business credit card for startups,American Express,2
Gemini,best cashback business card,Discover,1
Google AI Overview,best premium business card,Capital One,2
Gemini,best expense management card,Discover,2
Google AI Overview,best business credit card,Discover,3
Google AI Overview,best premium business card,Capital One,2
Gemini,best expense management card,Chase,2
Gemini,best corporate card,Citi,2
ChatGPT,best corporate card,Citi,2
Perplexity,top business credit card for startups,Chase,3
Google AI Overview,best business credit card,Capital One,2
Google AI Overview,best expense management card,Discover,3
Google AI Overview,best expense management card,Citi,1
Perplexity,best company expense card,Capital One,2
Google AI Overview,top business credit card for startups,American Express,2
ChatGPT,top business credit card for startups,Citi,3
ChatGPT,best travel rewards card,Capital One,1
Perplexity,best premium business card,Capital One,2
Google AI Overview,best company expense card,Capital One,1
Perplexity,best business credit card,American Express,1
Gemini,best company expense card,American Express,1
Gemini,best corporate card,Citi,2
ChatGPT,best premium business card,Capital One,1
Gemini,best travel rewards card,American Express,1
Perplexity,best corporate card,Discover,2
Perplexity,best cashback business card,Citi,3
Perplexity,best premium business card,American Express,2
Google AI Overview,best business credit card,Discover,2
Perplexity,best travel rewards card,Chase,3
ChatGPT,best travel rewards card,Discover,1
Gemini,best expense management card,American Express,1
ChatGPT,best expense management card,Chase,1
ChatGPT,best cashback business card,American Express,1
ChatGPT,best expense management card,Discover,3
Google AI Overview,top business credit card for startups,American Express,1
Google AI Overview,best cashback business card,Discover,2
Perplexity,best corporate card,American Express,1
Gemini,best travel rewards card,Capital One,1
Google AI Overview,best corporate card,American Express,1
Google AI Overview,best travel rewards card,Discover,1
Google AI Overview,best expense management card,Chase,1
ChatGPT,best premium business card,Chase,1
Gemini,best travel rewards card,American Express,3
ChatGPT,best company expense card,Chase,1
ChatGPT,best expense management card,Capital One,2
Gemini,best cashback business card,American Express,1
Google AI Overview,best expense management card,Citi,1
Perplexity,best company expense card,Chase,1
Gemini,best corporate card,Capital One,2
Gemini,best expense management card,Citi,2
ChatGPT,best corporate card,Capital One,2
Gemini,best cashback business card,Discover,1
Perplexity,best company expense card,American Express,1
Perplexity,best corporate card,Discover,1
Gemini,best corporate card,American Express,3
Gemini,best expense management card,Chase,2
Perplexity,best cashback business card,Citi,2
ChatGPT,best travel rewards card,American Express,1
Google AI Overview,best cashback business card,Capital One,1
Google AI Overview,top business credit card for startups,Capital One,3
Google AI Overview,best cashback business card,American Express,1
ChatGPT,best cashback business card,Discover,1
Perplexity,best cashback business card,Capital One,2
ChatGPT,best travel rewards card,Discover,1
Gemini,top business credit card for startups,Capital One,1
ChatGPT,best premium business card,Capital One,1
Perplexity,best cashback business card,Citi,1
ChatGPT,best company expense card,Discover,1
ChatGPT,best expense management card,American Express,1
Perplexity,top business credit card for startups,Capital One,1
Google AI Overview,best company expense card,Discover,1
Perplexity,best travel rewards card,Citi,1
Gemini,best business credit card,American Express,2
Perplexity,best cashback business card,Discover,1
ChatGPT,best cashback business card,American Express,2
ChatGPT,best company expense card,Citi,1
Google AI Overview,top business credit card for startups,American Express,1
Perplexity,best company expense card,Citi,1
Perplexity,top business credit card for startups,Citi,2
Google AI Overview,best travel rewards card,Discover,1
Gemini,best corporate card,American Express,2
ChatGPT,best cashback business card,Discover,1
Gemini,best corporate card,American Express,1
Google AI Overview,best company expense card,Capital One,1
Perplexity,best company expense card,Capital One,2
Google AI Overview,best business credit card,Capital One,2
Perplexity,best travel rewards card,Capital One,1
ChatGPT,best expense management card,Discover,1
Gemini,best premium business card,Citi,1
Perplexity,best premium business card,Chase,1
Perplexity,best expense management card,Capital One,1
ChatGPT,best premium business card,Citi,3
Google AI Overview,top business credit card for startups,Chase,3
ChatGPT,best premium business card,Chase,2
Perplexity,best expense management card,Chase,2
ChatGPT,top business credit card for startups,Capital One,1
Google AI Overview,best expense management card,Discover,2
Gemini,best business credit card,American Express,1
Google AI Overview,best cashback business card,Discover,2
ChatGPT,best cashback business card,Discover,1
Gemini,best corporate card,Chase,1
Perplexity,best company expense card,Capital One,3
Google AI Overview,best company expense card,Chase,1
ChatGPT,best corporate card,American Express,1
Google AI Overview,best corporate card,Citi,1
Google AI Overview,best corporate card,Chase,1
Perplexity,best premium business card,American Express,2
Gemini,best travel rewards card,Capital One,2
ChatGPT,best corporate card,Capital One,2
ChatGPT,best premium business card,Citi,1
Google AI Overview,best premium business card,Capital One,2
Gemini,best business credit card,Chase,1
Google AI Overview,top business credit card for startups,Chase,3
Google AI Overview,best company expense card,Capital One,1
Gemini,best travel rewards card,Chase,2
ChatGPT,best business credit card,Chase,1
Gemini,best premium business card,Discover,3
Gemini,best business credit card,Capital One,1
ChatGPT,top business credit card for startups,Citi,2
ChatGPT,best business credit card,Discover,2
Gemini,best expense management card,American Express,1
ChatGPT,top business credit card for startups,Discover,2
Perplexity,best premium business card,Discover,2
Gemini,best cashback business card,Citi,1
Google AI Overview,best company expense card,Chase,1
ChatGPT,best premium business card,Citi,1
Perplexity,best corporate card,Capital One,2
Google AI Overview,best company expense card,American Express,2
Gemini,best company expense card,Capital One,1
Gemini,best premium business card,Chase,1
ChatGPT,best cashback business card,Citi,1
Google AI Overview,best travel rewards card,Capital One,2
Gemini,best business credit card,Citi,2
ChatGPT,best cashback business card,Citi,1
ChatGPT,best premium business card,Chase,1
Google AI Overview,best travel rewards card,Discover,2
ChatGPT,best business credit card,Discover,1
Google AI Overview,best company expense card,Capital One,3
Google AI Overview,best premium business card,Discover,2
ChatGPT,best corporate card,Chase,3
Gemini,best expense management card,Citi,2
Gemini,best premium business card,American Express,2
ChatGPT,best company expense card,Discover,3
Google AI Overview,best expense management card,American Express,1
Perplexity,best cashback business card,Discover,3
Gemini,best corporate card,Capital One,1
ChatGPT,best company expense card,Citi,1
Perplexity,top business credit card for startups,Discover,1
Google AI Overview,best expense management card,Discover,1
Perplexity,best corporate card,American Express,1
ChatGPT,best expense management card,Chase,1
ChatGPT,best business credit card,Capital One,3
Gemini,best expense management card,Citi,2
ChatGPT,best premium business card,Citi,2
Gemini,best company expense card,Citi,1
ChatGPT,best business credit card,Chase,1
Perplexity,best travel rewards card,Chase,2
Perplexity,best travel rewards card,Discover,1
Gemini,best corporate card,Citi,2
Gemini,top business credit card for startups,Capital One,3
Google AI Overview,best corporate card,Capital One,3
Perplexity,best premium business card,Chase,3
ChatGPT,best travel rewards card,Citi,1
Google AI Overview,best expense management card,Discover,1
Google AI Overview,best cashback business card,American Express,1
Perplexity,best expense management card,Capital One,2
Google AI Overview,best company expense card,Capital One,1
ChatGPT,best expense management card,Capital One,1
Perplexity,best travel rewards card,Citi,1
Gemini,best premium business card,Chase,2
Perplexity,best corporate card,Chase,3
Perplexity,best business credit card,Citi,1
Google AI Overview,best expense management card,Capital One,1
Perplexity,best premium business card,Capital One,1
ChatGPT,best business credit card,American Express,3
Perplexity,best business credit card,American Express,1
ChatGPT,best travel rewards card,Chase,1
ChatGPT,best premium business card,Citi,2
Gemini,best company expense card,Citi,1
Perplexity,best expense management card,Chase,3
Perplexity,best company expense card,American Express,1
Gemini,best company expense card,Chase,3
Perplexity,best company expense card,Citi,1
Gemini,best premium business card,American Express,1
Google AI Overview,best business credit card,Discover,1
Gemini,best travel rewards card,Citi,1
Perplexity,best business credit card,Citi,1
ChatGPT,best business credit card,Chase,1
Gemini,best travel rewards card,American Express,2
Gemini,best premium business card,Discover,1
Gemini,top business credit card for startups,Capital One,1
Gemini,best company expense card,Discover,2
ChatGPT,best cashback business card,Discover,1
ChatGPT,best premium business card,Chase,2
Gemini,best cashback business card,American Express,1
Perplexity,best company expense card,American Express,1
Perplexity,best travel rewards card,Chase,1
Perplexity,best business credit card,Capital One,3
Gemini,best travel rewards card,American Express,1
Gemini,best cashback business card,Capital One,1
Google AI Overview,best cashback business card,Citi,1
ChatGPT,best company expense card,Chase,1
Gemini,best expense management card,Chase,1
Google AI Overview,best company expense card,Discover,1
ChatGPT,best expense management card,Chase,2
Perplexity,best company expense card,Capital One,1
Google AI Overview,best expense management card,Capital One,2
Google AI Overview,best premium business card,Chase,1
Google AI Overview,best business credit card,American Express,1
ChatGPT,best company expense card,American Express,1
Gemini,best expense management card,Citi,1
Google AI Overview,top business credit card for startups,Capital One,1
ChatGPT,best business credit card,Capital One,1
Perplexity,top business credit card for startups,Capital One,1
Google AI Overview,best expense management card,Citi,1
Google AI Overview,best expense management card,Discover,1
Gemini,best travel rewards card,Citi,2
Gemini,best corporate card,American Express,1
Gemini,best expense management card,American Express,1
Gemini,best expense management card,Citi,2
Gemini,best expense management card,American Express,1
Google AI Overview,best expense management card,Discover,1
Gemini,best travel rewards card,Chase,2
Gemini,best travel rewards card,Discover,1
Google AI Overview,best cashback business card,American Express,1
Perplexity,best cashback business card,Citi,3
Gemini,best corporate card,Discover,2
Gemini,best company expense card,American Express,1
Google AI Overview,best company expense card,Capital One,1
Gemini,best travel rewards card,Discover,2
Google AI Overview,best travel rewards card,Capital One,1
Perplexity,best travel rewards card,Capital One,1
ChatGPT,best premium business card,Discover,1
Google AI Overview,best business credit card,American Express,1
ChatGPT,best company expense card,Discover,1
ChatGPT,best corporate card,Discover,2
Google AI Overview,best company expense card,Discover,1
Gemini,top business credit card for startups,American Express,3
Perplexity,best travel rewards card,Discover,1
ChatGPT,top business credit card for startups,Citi,2
Gemini,best premium business card,Capital One,2
Google AI Overview,best travel rewards card,American Express,1
Gemini,top business credit card for startups,Citi,1
Google AI Overview,best premium business card,Chase,1
Perplexity,best corporate card,Capital One,1
Gemini,best expense management card,Citi,1
Gemini,best cashback business card,Discover,3
Perplexity,top business credit card for startups,Citi,2
ChatGPT,best expense management card,Discover,2
Gemini,best travel rewards card,Capital One,1
ChatGPT,best company expense card,Discover,1
Gemini,best premium business card,Chase,1
Perplexity,best corporate card,Citi,1
Gemini,best travel rewards card,Capital One,3
ChatGPT,best cashback business card,Citi,1
Gemini,best travel rewards card,Citi,2
Gemini,best cashback business card,Capital One,1
Google AI Overview,best premium business card,American Express,3
Google AI Overview,best travel rewards card,Capital One,1
Google AI Overview,best business credit card,Citi,1
Google AI Overview,best corporate card,American Express,2
ChatGPT,best premium business card,Citi,2
Gemini,best company expense card,Chase,1
Gemini,best cashback business card,American Express,1
